wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description,wine,food
Albariño,White,gazpacho,Acidic,Ethiopian,3,Neutral,Acidic wine balances acidic food.,Albariño,gazpacho
Merlot,Red,beef stew,Red Meat,Mexican,3,Neutral,Heuristic pairing assessment.,Merlot,beef stew
Malbec,Red,gazpacho,Acidic,Thai,4,Good,Acidic wine balances acidic food.,Malbec,gazpacho
Chardonnay,White,citrus salad,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Chardonnay,citrus salad
Cabernet Sauvignon,Red,citrus salad,Acidic,Italian,4,Good,Acidic wine balances acidic food.,Cabernet Sauvignon,citrus salad
Sauternes,Dessert,beef stew,Red Meat,Ethiopian,4,Good,Heuristic pairing assessment.,Sauternes,beef stew
Nebbiolo,Red,mac and cheese,Cheese,Japanese,4,Good,Heuristic pairing assessment.,Nebbiolo,mac and cheese
Champagne,Sparkling,caprese salad,Acidic,Moroccan,3,Neutral,Heuristic pairing assessment.,Champagne,caprese salad
Barbera,Red,citrus salad,Acidic,Chinese (Sichuan),4,Good,Acidic wine balances acidic food.,Barbera,citrus salad
Syrah/Shiraz,Red,caprese salad,Acidic,Indian,2,Poor,Heuristic pairing assessment.,Syrah/Shiraz,caprese salad
Sauvignon Blanc,White,cheese platter,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Sauvignon Blanc,cheese platter
Gamay (Beaujolais),Red,gazpacho,Acidic,Korean,5,Excellent,Acidic wine balances acidic food.,Gamay (Beaujolais),gazpacho
Tempranillo,Red,gazpacho,Acidic,Thai,5,Excellent,Acidic wine balances acidic food.,Tempranillo,gazpacho
Chardonnay,White,caprese salad,Acidic,Japanese,5,Excellent,Idealized perfect pairing example for contrast.,Chardonnay,caprese salad
Port,Fortified,gazpacho,Acidic,Thai,2,Poor,Low-acid wine seems flabby vs acids.,Port,gazpacho
Sangiovese,Red,grilled ribeye,Red Meat,Japanese,4,Good,Heuristic pairing assessment.,Sangiovese,grilled ribeye
Gewürztraminer,White,caprese salad,Acidic,American BBQ,2,Poor,Heuristic pairing assessment.,Gewürztraminer,caprese salad
Nebbiolo,Red,caprese salad,Acidic,Indian,3,Neutral,Heuristic pairing assessment.,Nebbiolo,caprese salad
Sauvignon Blanc,White,beef stew,Red Meat,Korean,3,Neutral,Heuristic pairing assessment.,Sauvignon Blanc,beef stew
Tempranillo,Red,citrus salad,Acidic,Japanese,5,Excellent,Acidic wine balances acidic food.,Tempranillo,citrus salad
Syrah/Shiraz,Red,citrus salad,Acidic,Korean,4,Good,Acidic wine balances acidic food.,Syrah/Shiraz,citrus salad
Merlot,Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Merlot,fondue
Chardonnay,White,gazpacho,Acidic,Indian,3,Neutral,Acidic wine balances acidic food.,Chardonnay,gazpacho
Madeira,Fortified,citrus salad,Acidic,Middle Eastern,4,Good,Acidic wine balances acidic food.,Madeira,citrus salad
Viognier,White,citrus salad,Acidic,Indian,1,Terrible,Low-acid wine seems flabby vs acids.,Viognier,citrus salad
Provence Rosé,Rosé,gazpacho,Acidic,Indian,3,Neutral,Acidic wine balances acidic food.,Provence Rosé,gazpacho
Chenin Blanc,White,caprese salad,Acidic,Indian,4,Good,Heuristic pairing assessment.,Chenin Blanc,caprese salad
Sauvignon Blanc,White,caprese salad,Acidic,Indian,5,Excellent,Idealized perfect pairing example for contrast.,Sauvignon Blanc,caprese salad
Champagne,Sparkling,gazpacho,Acidic,Ethiopian,4,Good,Acidic wine balances acidic food.,Champagne,gazpacho
Torrontés,White,caprese salad,Acidic,Argentinian,3,Neutral,Heuristic pairing assessment.,Torrontés,caprese salad
Torrontés,White,grilled ribeye,Red Meat,American BBQ,2,Poor,Heuristic pairing assessment.,Torrontés,grilled ribeye
